Pergunta,Resposta
Quais são os critérios de desempate se os times estiverem empatados na fase eliminatória da Liga dos Campeões da UEFA de 2024-25?,"Os critérios de desempate na fase eliminatória da Liga dos Campeões da UEFA de 2024-25 são: número de gols marcados no total nas duas partidas. Se o placar agregado estiver empatado, então 30 minutos de tempo extra são jogados (a regra dos gols fora de casa não é aplicada). Se o placar ainda estiver empatado no final do tempo extra, os vencedores são decididos por uma disputa de pênaltis."
Quem é o técnico do Paris Saint-Germain que conquistou o título da Liga dos Campeões da UEFA de 2024-25?,Luis Enrique é o técnico do Paris Saint-Germain que conquistou o título da Liga dos Campeões da UEFA de 2024-25.
Qual jogador do Paris Saint-Germain foi eleito o Jogador da Temporada da Liga dos Campeões da UEFA de 2024-25?,Ousmane Dembélé do Paris Saint-Germain foi eleito o Jogador da Temporada da Liga do
Onde foi disputada a final da Liga dos Campeões da UEFA de 2024–25?,"A final da Liga dos Campeões da UEFA de 2024–25 foi disputada na Allianz Arena, em Munique, Alemanha."
Quem conquistou o título da Liga dos Campeões da UEFA de 2024–25?,O Paris Saint-Germain conquistou o título da Liga dos Campeões da UEFA de 2024–25.
Qual foi o placar da final da Liga dos Campeões da UEFA de 2024–25?,O placar da final da Liga dos Campeões da UEFA de 2024–25 foi Paris Saint-Germain 5 – 0 Internazionale.
Quem foram os melhores marcadores da Liga dos Campeões da UEFA de 2024–25?,"Os melhores marcadores da Liga dos Campeões da UEFA de 2024–25 foram Serhou Guirassy e Raphinha, com 13 gols cada."
Qual equipe teve o melhor ataque na fase inicial da Liga dos Campeões da UEFA de 2024–25?,"O Barcelona teve o melhor ataque na fase inicial da Liga dos Campeões da UEFA de 2024–25, com 28 gols."
Qual equipe teve a melhor defesa na fase inicial da Liga dos Campeões da UEFA de 2024–25?,"A Internazionale teve a melhor defesa na fase inicial da Liga dos Campeões da UEFA de 2024–25, sofrendo apenas 1 gol."
Qual foi a maior goleada da Liga dos Campeões da UEFA de 2024–25?,A maior goleada da Liga dos Campeões da UEFA de 2024–25 foi Bayern de Munique 9–2 Dínamo Zagreb.
Quem foi eleito o melhor jogador da Liga dos Campeões da UEFA de 2024–25?,"Ousmane Dembélé, do Paris Saint-Germain, foi eleito o melhor jogador da Liga dos Campeões da UEFA de 2024–25."
Quem foi eleito o melhor jogador jovem da Liga dos Campeões da UEFA de 2024–25?,"Désiré Doué, do Paris Saint-Germain, foi eleito o melhor jogador jovem da Liga dos Campeões da UEFA de 2024–25."
Qual é o novo formato da Liga dos Campeões da UEFA que estreou na temporada 2024-25?,"O novo formato da Liga dos Campeões da UEFA que estreou na temporada 2024-25 é uma fase de liga única, substituindo a fase de grupos anterior."
Quais foram as premiações que o Paris Saint-Germain recebeu ao vencer a Liga dos Campeões da UEFA de 2024-25?,"Ao vencer a Liga dos Campeões da UEFA de 2024-25, o Paris Saint-Germain se classificou automaticamente para a Liga dos Campeões da UEFA de 2025–26 e a Copa Intercontinental da FIFA de 2025, além de ganhar o direito de jogar contra os vencedores da Liga Europa da UEFA de 2024–25 na Supercopa da UEFA de 2025 e disputar a segunda edição do quadrienal Mundial de Clubes FIFA, em 2029."
Quantas equipes de cada associação entre 1 e 5 participam da Liga dos Campeões da UEFA de 2024-25?,As associações 1–5 têm quatro equipes cada na Liga dos Campeões da UEFA de 2024-25.
Quantas equipes a Associação 6 tem na Liga dos Campeões da UEFA de 2024-25?,A Associação 6 tem três equipes na Liga dos Campeões da UEFA de 2024-25.
Quantas equipes as associações 7–15 têm na Liga dos Campeões da UEFA de 2024-25?,As associações 7–15 têm duas equipes cada na Liga dos Campeões da UEFA de 2024-25.
Quantas equipes as associações 16–55 (exceto Liechtenstein e Rússia) têm na Liga dos Campeões da UEFA de 2024-25?,As associações 16–55 (exceto Liechtenstein e Rússia) têm uma equipe cada na Liga dos Campeões da UEFA de 2024-25.
Quais associações ganharam vagas extras na fase da liga da Liga dos Campeões 2024-25 com base no desempenho da temporada 2023-24?,Alemanha e Itália ganharam vagas extras na fase da liga da Liga dos Campeões 2024-25 com base no desempenho da temporada 2023-24.
Qual foi o coeficiente da associação da Inglaterra para a Liga dos Campeões da UEFA de 2024–25?,O coeficiente da associação da Inglaterra para a Liga dos Campeões da UEFA de 2024–25 foi 109.570.
Qual foi o coeficiente da associação da Espanha para a Liga dos Campeões da UEFA de 2024–25?,O coeficiente da associação da Espanha para a Liga dos Campeões da UEFA de 2024–25 foi 92.998.
Qual foi o coeficiente da associação da Alemanha para a Liga dos Campeões da UEFA de 2024–25?,O coeficiente da associação da Alemanha para a Liga dos Campeões da UEFA de 2024–25 foi 82.481.
Qual foi o coeficiente da associação da Itália para a Liga dos Campeões da UEFA de 2024–25?,O coeficiente da associação da Itália para a Liga dos Campeões da UEFA de 2024–25 foi 81.926.
Qual foi o coeficiente da associação da França para a Liga dos Campeões da UEFA de 2024–25?,O coeficiente da associação da França para a Liga dos Campeões da UEFA de 2024–25 foi 61.164.
Quantas equipes os Países Baixos tinham na Liga dos Campeões da UEFA de 2024–25?,Os Países Baixos tinham 3 equipes na Liga dos Campeões da UEFA de 2024–25.
Quantas equipes Portugal tinha na Liga dos Campeões da UEFA de 2024–25?,Portugal tinha 2 equipes na Liga dos Campeões da UEFA de 2024–25.
Quais equipes entraram na fase de liga da Liga dos Campeões da UEFA de 2024–25 devido à suspensão da Rússia?,Shakhtar Donetsk e Benfica entraram na fase de liga da Liga dos Campeões da UEFA de 2024–25 devido à suspensão da Rússia.
Que mudanças foram feitas na lista de acesso padrão para a Liga dos Campeões da UEFA de 2024–25 devido à suspensão contínua da Rússia?,Os campeões das associações 23 (Suécia) e 24 (Polônia) entraram na segunda qualificatória em vez da primeira qualificatória (Caminho dos Campeões).
Quais equipes se classificaram para a fase de liga da Liga dos Campeões da UEFA de 2024–25 das principais ligas europeias?,"As equipes que se classificaram para a fase de liga da Liga dos Campeões da UEFA de 2024–25 das principais ligas europeias foram: Real Madrid, Barcelona, Girona, Atlético de Madrid, Bayer Leverkusen, Stuttgart, Bayern de Munique, RB Leipzig, Borussia Dortmund, Internazionale, Milan, Juventus, Bologna, Paris Saint-Germain, Monaco e Brest."
Quais equipes entraram na qualificatória final da Liga dos Campeões da UEFA de 2024–25?,"As equipes que entraram na qualificatória final da Liga dos Campeões da UEFA de 2024–25 foram: Estrela Vermelha, Galatasaray, Young Boys, Dínamo Zagreb, Lille, Twente, Red Bull Salzburg e Royale Union Saint-Gilloise."
Quais equipes entraram na terceira qualificatória da Liga dos Campeões da UEFA de 2024–25?,"As equipes que entraram na terceira qualificatória da Liga dos Campeões da UEFA de 2024–25 foram: Lille, Twente, Red Bull Salzburg, Royale Union Saint-Gilloise, Rangers e Slavia Praha."
Quais equipes entraram na segunda qualificatória da Liga dos Campeões da UEFA de 2024–25?,"As equipes que entraram na segunda qualificatória da Liga dos Campeões da UEFA de 2024–25 foram: Sparta Praga, FK Bodø/Glimt, Midtjylland, PAOK, Maccabi Tel Aviv, APOEL, Malmö, Jagiellonia, Ferencváros, Qarabağ, Dínamo de Kiev, Partizan Belgrado, Fenerbahçe e Lugano."
Quais equipes entraram na primeira qualificatória da Liga dos Campeões da UEFA de 2024–25?,"As equipes que entraram na primeira qualificatória da Liga dos Campeões da UEFA de 2024–25 foram: Steaua Bucareste, Ludogorets Razgrad, Slovan Bratislava, Ordabasy, Celje, Petrocub Hîncești, Ballkani, FK RFS, Shamrock Rovers, HJK, FK Panevėžys, Pyunik, Dinamo Minsk, Borac Banja Luka, Déifferdeng 03, KÍ, Larne, Hamrun Spartans, Dinamo Batumi, Flora, Víkingur Reykjavík, Egnatia, The New Saints, Lincoln Red Imps, FC Struga, UE Santa Coloma, Dečić e Virtus."
Que tipo de semana foi introduzida na Liga dos Campeões da UEFA de 2024–25?,"Uma ""semana exclusiva"" foi introduzida na Liga dos Campeões da UEFA de 2024–25, onde quinta-feira também será dia de jogos."
Qual foi o resultado da partida de ida entre Slovan Bratislava e Struga na primeira qualificatória da champions league 2024/2025?,O resultado da partida de ida entre Slovan Bratislava e Struga na primeira qualificatória da champions league 2024/2025 foi 4–2 para o Slovan Bratislava.
Qual foi o resultado agregado entre The New Saints e Dečić na primeira qualificatória da champions league 2024/2025?,O resultado agregado entre The New Saints e Dečić na primeira qualificatória da champions league 2024/2025 foi 4–1 para The New Saints.
Qual equipe venceu na disputa de pênaltis entre Borac Banja Luka e Egnatia na primeira qualificatória da champions league 2024/2025?,Borac Banja Luka venceu na disputa de pênaltis contra Egnatia na primeira qualificatória da champions league 2024/2025 por 4–1 após um empate de 2-2 no agregado.
Qual equipe venceu na disputa de pênaltis entre Ħamrun Spartans e Lincoln Red Imps na primeira qualificatória da champions league 2024/2025?,Lincoln Red Imps venceu na disputa de pênaltis contra Ħamrun Spartans na primeira qualificatória da champions league 2024/2025 por 5–4 após um empate de 1-1 no agregado.
Qual equipe venceu na disputa de pênaltis entre UE Santa Coloma e Ballkani na primeira qualificatória da champions league 2024/2025?,UE Santa Coloma venceu na disputa de pênaltis contra Ballkani na primeira qualificatória da champions league 2024/2025 por 6–5 após um empate de 3-3 no agregado.
Qual foi o resultado agregado entre Flora e Celje na primeira qualificatória da champions league 2024/2025?,O resultado agregado entre Flora e Celje na primeira qualificatória da champions league 2024/2025 foi 7–1 para Celje.
Qual foi o resultado agregado entre KÍ e Déifferdeng 03 na primeira qualificatória da champions league 2024/2025?,O resultado agregado entre KÍ e Déifferdeng 03 na primeira qualificatória da champions league 2024/2025 foi 2–0 para KÍ.
Qual foi o resultado agregado entre Panevėžys e HJK na primeira qualificatória da champions league 2024/2025?,O resultado agregado entre Panevėžys e HJK na primeira qualificatória da champions league 2024/2025 foi 4–1 para Panevėžys.
Qual foi o resultado agregado entre RFS e Larne na primeira qualificatória da champions league 2024/2025?,O resultado agregado entre RFS e Larne na primeira qualificatória da champions league 2024/2025 foi 7–0 para RFS.
Qual foi o resultado agregado entre Víkingur Reykjavík e Shamrock Rovers na primeira qualificatória da champions league 2024/2025?,O resultado agregado entre Víkingur Reykjavík e Shamrock Rovers na primeira qualificatória da champions league 2024/2025 foi 2–1 para Shamrock Rovers.
Qual foi o resultado agregado entre Virtus e Steaua Bucareste na primeira qualificatória da champions league 2024/2025?,O resultado agregado entre Virtus e Steaua Bucareste na primeira qualificatória da champions league 2024/2025 foi 11–1 para Steaua Bucareste.
Qual foi o resultado agregado entre Ludogorets Razgrad e Dinamo Batumi na primeira qualificatória da champions league 2024/2025?,O resultado agregado entre Ludogorets Razgrad e Dinamo Batumi na primeira qualificatória da champions league 2024/2025 foi 3–2 para Ludogorets Razgrad.
Qual foi o resultado agregado entre Ordabasy e Petrocub Hîncești na primeira qualificatória da champions league 2024/2025?,O resultado agregado entre Ordabasy e Petrocub Hîncești na primeira qualificatória da champions league 2024/2025 foi 1–0 para Petrocub Hîncești.
Qual foi o resultado agregado entre Dinamo Minsk e Pyunik na primeira qualificatória da champions league 2024/2025?,O resultado agregado entre Dinamo Minsk e Pyunik na primeira qualificatória da champions league 2024/2025 foi 1–0 para Dinamo Minsk.
Qual foi o resultado agregado entre Ludogorets Razgrad e Dinamo Minsk na segunda qualificatória da champions league 2024/2025?,O resultado agregado entre Ludogorets Razgrad e Dinamo Minsk na segunda qualificatória da champions league 2024/2025 foi 2–1 para Ludogorets Razgrad.
Qual foi o resultado agregado entre APOEL e Petrocub Hîncești na segunda qualificatória da champions league 2024/2025?,O resultado agregado entre APOEL e Petrocub Hîncești na segunda qualificatória da champions league 2024/2025 foi 2–1 para APOEL.
Qual foi o resultado agregado entre Ferencváros e The New Saints na segunda qualificatória da champions league 2024/2025?,O resultado agregado entre Ferencváros e The New Saints na segunda qualificatória da champions league 2024/2025 foi 7–1 para Ferencváros.
Qual foi o resultado agregado entre PAOK e Borac Banja Luka na segunda qualificatória da champions league 2024/2025?,O resultado agregado entre PAOK e Borac Banja Luka na segunda qualificatória da champions league 2024/2025 foi 4–2 para PAOK.
Qual foi o resultado agregado entre FK Bodø/Glimt e RFS na segunda qualificatória da champions league 2024/2025?,O resultado agregado entre FK Bodø/Glimt e RFS na segunda qualificatória da champions league 2024/2025 foi 7–1 para Bodø/Glimt.
Qual foi o resultado agregado entre Malmö FF e KÍ na segunda qualificatória da champions league 2024/2025?,O resultado agregado entre Malmö FF e KÍ na segunda qualificatória da champions league 2024/2025 foi 6–4 para Malmö FF.
Qual foi o resultado agregado entre Shamrock Rovers e Sparta Praga na segunda qualificatória da champions league 2024/2025?,O resultado agregado entre Shamrock Rovers e Sparta Praga na segunda qualificatória da champions league 2024/2025 foi 6–2 para Sparta Praga.
Qual foi o resultado agregado entre UE Santa Coloma e Midtjylland na segunda qualificatória da champions league 2024/2025?,O resultado agregado entre UE Santa Coloma e Midtjylland na segunda qualificatória da champions league 2024/2025 foi 4–0 para Midtjylland.
Qual foi o resultado agregado entre Celje e Slovan Bratislava na segunda qualificatória da champions league 2024/2025?,O resultado agregado entre Celje e Slovan Bratislava na segunda qualificatória da champions league 2024/2025 foi 6–1 para Slovan Bratislava.
Qual foi o resultado agregado entre Panevėžys e Jagiellonia Białystok na segunda qualificatória da champions league 2024/2025?,O resultado agregado entre Panevėžys e Jagiellonia Białystok na segunda qualificatória da champions league 2024/2025 foi 7–1 para Jagiellonia Białystok.
Qual foi o resultado agregado entre Lincoln Red Imps e Qarabağ na segunda qualificatória da champions league 2024/2025?,O resultado agregado entre Lincoln Red Imps e Qarabağ na segunda qualificatória da champions league 2024/2025 foi 7–0 para Qarabağ.
Qual foi o resultado agregado entre Steaua Bucareste e Maccabi Tel Aviv na segunda qualificatória da champions league 2024/2025?,O resultado agregado entre Steaua Bucareste e Maccabi Tel Aviv na segunda qualificatória da champions league 2024/2025 foi 2–1 para Steaua Bucareste.
Qual foi o resultado agregado entre Lugano e Fenerbahçe na segunda qualificatória da champions league 2024/2025?,O resultado agregado entre Lugano e Fenerbahçe na segunda qualificatória da champions league 2024/2025 foi 6–4 para Fenerbahçe.
Qual foi o resultado agregado entre Dínamo de Kiev e Partizan Belgrado na segunda qualificatória da champions league 2024/2025?,O resultado agregado entre Dínamo de Kiev e Partizan Belgrado na segunda qualificatória da champions league 2024/2025 foi 9–2 para Dínamo de Kiev.
Qual foi o resultado agregado entre Qarabağ e Ludogorets Razgrad na terceira qualificatória da champions league 2024/2025?,O resultado agregado entre Qarabağ e Ludogorets Razgrad na terceira qualificatória da champions league 2024/2025 foi 8–4 para Qarabağ após prorrogação.
Qual foi o resultado agregado entre Slovan Bratislava e APOEL na terceira qualificatória da champions league 2024/2025?,O resultado agregado entre Slovan Bratislava e APOEL na terceira qualificatória da champions league 2024/2025 foi 2–0 para Slovan Bratislava.
Qual foi o resultado agregado entre Sparta Praga e Steaua Bucareste na terceira qualificatória da champions league 2024/2025?,O resultado agregado entre Sparta Praga e Steaua Bucareste na terceira qualificatória da champions league 2024/2025 foi 4–3 para Sparta Praga.
Qual foi o resultado agregado entre Malmö FF e PAOK na terceira qualificatória da champions league 2024/2025?,O resultado agregado entre Malmö FF e PAOK na terceira qualificatória da champions league 2024/2025 foi 6–5 para Malmö FF após prorrogação.
Qual foi o resultado agregado entre Midtjylland e Ferencváros na terceira qualificatória da champions league 2024/2025?,O resultado agregado entre Midtjylland e Ferencváros na terceira qualificatória da champions league 2024/2025 foi 3–1 para Midtjylland.
Qual foi o resultado agregado entre Jagiellonia Białystok e FK Bodø/Glimt na terceira qualificatória da champions league 2024/2025?,O resultado agregado entre Jagiellonia Białystok e FK Bodø/Glimt na terceira qualificatória da champions league 2024/2025 foi 5–1 para Bodø/Glimt.
Qual foi o resultado agregado entre Slavia Praha e Union Saint-Gilloise na terceira qualificatória da champions league 2024/2025?,O resultado agregado entre Slavia Praha e Union Saint-Gilloise na terceira qualificatória da champions league 2024/2025 foi 4–1 para Slavia Praha.
Qual foi o resultado agregado entre Lille e Fenerbahçe na terceira qualificatória da champions league 2024/2025?,O resultado agregado entre Lille e Fenerbahçe na terceira qualificatória da champions league 2024/2025 foi 3–2 para Lille após prorrogação.
Qual foi o resultado agregado entre Dínamo de Kiev e Rangers na terceira qualificatória da champions league 2024/2025?,O resultado agregado entre Dínamo de Kiev e Rangers na terceira qualificatória da champions league 2024/2025 foi 3–1 para Dínamo de Kiev.
Qual foi o resultado agregado entre Red Bull Salzburg e Twente na terceira qualificatória da champions league 2024/2025?,O resultado agregado entre Red Bull Salzburg e Twente na terceira qualificatória da champions league 2024/2025 foi 5–4 para Red Bull Salzburg.
Quais times se classificaram para a fase de liga da Liga dos Campeões da UEFA de 2024-25 vindos da fase qualificatória?,"Os times que se classificaram para a fase de liga da Liga dos Campeões da UEFA de 2024-25 vindos da fase qualificatória foram: Estrela Vermelha, Sparta Praga, Slovan Bratislava, Young Boys, Dínamo Zagreb, Red Bull Salzburg e Lille."
Quais times se classificaram para a terceira qualificatória da Liga Europa vindos da segunda qualificatória da Liga dos Campeões da UEFA de 2024-25?,Os perdedores do Caminho dos Campeões na segunda qualificatória da Liga dos Campeões da UEFA de 2024-25 foram transferidos para a terceira qualificatória do Caminho dos Campeões da Liga Europa. O documento não especifica os nomes dos times.
Quais foram os resultados do play-off do Caminho dos Campeões da Liga dos Campeões da UEFA 2024-25?,"Os resultados do play-off do Caminho dos Campeões da Liga dos Campeões da UEFA 2024-25 foram: Young Boys 4–2 Galatasaray, Dinamo Zagreb 5–0 Qarabağ, Midtjylland 3–4 Slovan Bratislava, Bodø/Glimt 2–3 Estrela Vermelha, Malmö FF 0–4 Sparta Praga."
Quais foram os resultados do play-off do Caminho da Liga da Liga dos Campeões da UEFA 2024-25?,"Os resultados do play-off do Caminho da Liga da Liga dos Campeões da UEFA 2024-25 foram: Lille 3–2 Slavia Praha, Dínamo de Kiev 1–3 Red Bull Salzburg."
Quais times participaram do sorteio da fase de liga da Liga dos Campeões da UEFA de 2024-25?,"O documento lista os times que se classificaram diretamente para a fase de liga, mas não lista todos os times que participaram do sorteio, pois alguns vieram das fases de qualificação."
Quais times estrearam na fase de liga da Liga dos Campeões da UEFA de 2024-25?,"Aston Villa, Bologna, Brest, Girona e Slovan Bratislava fizeram suas estreias desde a introdução da fase de grupos na Liga dos Campeões da UEFA de 2024-25."
Quais times estrearam em competições europeias na Liga dos Campeões da UEFA de 2024-25?,Brest e Girona estrearam em competições europeias na Liga dos Campeões da UEFA de 2024-25.
Quantas associações nacionais foram representadas na fase de liga da Liga dos Campeões da UEFA de 2024-25?,Um total de 16 associações nacionais foram representadas na fase de liga da Liga dos Campeões da UEFA de 2024-25.
Qual formato substituiu a fase de grupos na Liga dos Campeões da UEFA de 2024-25?,A fase de liga substituiu a fase de grupos na Liga dos Campeões da UEFA de 2024-25.
Quantas partidas cada equipe jogou na fase de liga da Liga dos Campeões da UEFA de 2024-25?,Cada equipe jogou oito partidas na fase de liga da Liga dos Campeões da UEFA de 2024-25.
Como as equipes foram separadas para o sorteio da fase de liga da Liga dos Campeões da UEFA de 2024-25?,As equipes foram separadas em quatro potes com base em seus coeficientes de clubes da UEFA de 2024 para o sorteio da fase de liga da Liga dos Campeões da UEFA de 2024-25.
Quais eram os critérios de desempate na fase de liga da Liga dos Campeões da UEFA de 2024-25?,"Os critérios de desempate na fase de liga da Liga dos Campeões da UEFA de 2024-25 foram: diferença de gols, gols marcados, gols marcados fora de casa, vitórias, vitórias fora, maior número de pontos obtidos coletivamente pelos adversários da fase de qualificação, diferença de gols coletiva superior dos adversários da fase de grupos, maior número de gols marcados coletivamente pelos adversários da fase de grupos, menor total de pontos disciplinares e coeficiente de clube da UEFA."
Em que data foi realizado o sorteio para os pares da fase da liga da Liga dos Campeões da UEFA de 2024-25?,O sorteio para os pares da fase da liga da Liga dos Campeões da UEFA de 2024-25 foi realizado em 29 de agosto de 2024.
Que tipo de sorteio foi usado para a fase de liga da Liga dos Campeões da UEFA de 2024-25?,"Um software automatizado sorteou digitalmente os oponentes aleatoriamente, determinando quais de suas partidas seriam em casa e quais seriam fora na fase de liga da Liga dos Campeões da UEFA de 2024-25."
Quantas partidas cada equipe jogou em casa e fora na fase de liga da Liga dos Campeões da UEFA de 2024-25?,Cada equipe jogou quatro partidas em casa e quatro fora na fase de liga da Liga dos Campeões da UEFA de 2024-25.
Quais horários de início foram programados para as partidas da fase de liga da Liga dos Campeões da UEFA de 2024-25?,"Os horários de início programados para as partidas da fase de liga da Liga dos Campeões da UEFA de 2024-25 foram 18:45 (duas partidas em cada dia) e 21:00 (partidas restantes) CET/CEST, exceto na última rodada, onde todas as partidas foram disputadas simultaneamente às 21:00."
Qual foi o resultado da partida entre Young Boys e Aston Villa na rodada 1 da fase de liga da Liga dos Campeões da UEFA de 2024-25?,O resultado da partida entre Young Boys e Aston Villa na rodada 1 da fase de liga da Liga dos Campeões da UEFA de 2024-25 foi 0-3 para o Aston Villa.
Quem marcou um hat-trick na Liga dos Campeões da UEFA de 2024-25?,"Karim Adeyemi, Vinícius Júnior, Raphinha, Viktor Gyökeres, Luis Díaz, Vangelis Pavlidis, Lautaro Martínez, Ousmane Dembélé, Morgan Rogers, Kylian Mbappé e Serhou Guirassy marcaram hat-tricks na Liga dos Campeões da UEFA de 2024-25."
Quem marcou um poker-trick na Liga dos Campeões da UEFA de 2024-25?,Harry Kane marcou um poker-trick na Liga dos Campeões da UEFA de 2024-25.
Como as equipes são classificadas na fase eliminatória da Liga dos Campeões da UEFA de 2024-25?,"Na fase eliminatória da Liga dos Campeões da UEFA de 2024-25, as equipes são classificadas de acordo com os pontos obtidos na fase de liga e os critérios de desempate, com as oito melhores avançando diretamente para as oitavas de final e as equipes classificadas de 9º a 24º disputando os play-offs."
Quais são os critérios de desempate se os times estiverem empatados na fase eliminatória da Liga dos Campeões da UEFA de 2024-25?,"Se os times estiverem empatados na fase eliminatória da Liga dos Campeões da UEFA de 2024-25, o desempate será determinado pelo número de gols marcados nos dois jogos. Se ainda estiver empatado, haverá prorrogação e, se necessário, disputa de pênaltis."
Quem é o técnico do Paris Saint-Germain que conquistou o título da Liga dos Campeões da UEFA de 2024-25?,O técnico do Paris Saint-Germain que conquistou o título da Liga dos Campeões da UEFA de 2024-25 é Luis Enrique.
Qual jogador do Paris Saint-Germain foi eleito o Jogador da Temporada da Liga dos Campeões da UEFA de 2024-25?,O jogador do Paris Saint-Germain eleito o Jogador da Temporada da Liga dos Campeões da UEFA de 2024-25 foi Ousmane Dembélé.
Qual jogador do Paris Saint-Germain foi eleito o Jogador Jovem da Temporada da Liga dos Campeões da UEFA de 2024-25?,O jogador do Paris Saint-Germain eleito o Jogador Jovem da Temporada da Liga dos Campeões da UEFA de 2024-25 foi Désiré Doué.
Qual foi o resultado agregado da partida entre Brest e Paris Saint-Germain nos play-offs da fase eliminatória da Liga dos Campeões da UEFA de 2024-25?,O resultado agregado da partida entre Brest e Paris Saint-Germain nos play-offs da fase eliminatória da Liga dos Campeões da UEFA de 2024-25 foi 10–0 para o Paris Saint-Germain.
Qual foi o resultado agregado da partida entre Brugge e Atalanta nos play-offs da fase eliminatória da Liga dos Campeões da UEFA de 2024-25?,O resultado agregado da partida entre Brugge e Atalanta nos play-offs da fase eliminatória da Liga dos Campeões da UEFA de 2024-25 foi 5–2 para o Brugge.
Qual foi o resultado agregado da partida entre Manchester City e Real Madrid nos play-offs da fase eliminatória da Liga dos Campeões da UEFA de 2024-25?,O resultado agregado da partida entre Manchester City e Real Madrid nos play-offs da fase eliminatória da Liga dos Campeões da UEFA de 2024-25 foi 6–3 para o Real Madrid.
Qual foi o resultado agregado da partida entre Juventus e PSV Eindhoven nos play-offs da fase eliminatória da Liga dos Campeões da UEFA de 2024-25?,O resultado agregado da partida entre Juventus e PSV Eindhoven nos play-offs da fase eliminatória da Liga dos Campeões da UEFA de 2024-25 foi 4–3 para o PSV Eindhoven.
Qual foi o resultado agregado da partida entre Feyenoord e Milan nos play-offs da fase eliminatória da Liga dos Campeões da UEFA de 2024-25?,o resultado agregado da partida entre Feyenoord e Milan nos play-offs da fase eliminatória da Liga dos Campeões da UEFA de 2024-25?
"Onde foi disputada a final da Liga dos Campeões da UEFA de 2024–25, conforme o contexto?","A final da Liga dos Campeões da UEFA de 2024–25 foi disputada na Allianz Arena, em Munique, Alemanha.
2."
"Quem venceu a Liga dos Campeões da UEFA de 2024–25, de acordo com o contexto?","O Paris Saint-Germain venceu a Liga dos Campeões da UEFA de 2024–25.
3."
"Qual foi o placar da final da Liga dos Campeões da UEFA de 2024–25, conforme o texto?","O placar da final da Liga dos Campeões da UEFA de 2024–25 foi Paris Saint-Germain 5–0 Internazionale.
4."
"Quem foram os artilheiros da Liga dos Campeões da UEFA de 2024–25, segundo o contexto?","Os artilheiros da Liga dos Campeões da UEFA de 2024–25 foram Serhou Guirassy e Raphinha, ambos com 13 gols.
5."
"Qual equipe teve o melhor ataque (fase inicial) na Liga dos Campeões da UEFA de 2024–25, segundo o contexto?","O Barcelona teve o melhor ataque na fase inicial da Liga dos Campeões da UEFA de 2024–25, com 28 gols.
6."
"Qual equipe teve a melhor defesa (fase inicial) na Liga dos Campeões da UEFA de 2024–25, de acordo com o texto?","A Internazionale teve a melhor defesa na fase inicial da Liga dos Campeões da UEFA de 2024–25, sofrendo apenas 1 gol.
7."
"Qual foi a maior goleada da Liga dos Campeões da UEFA de 2024–25, conforme o contexto?","A maior goleada da Liga dos Campeões da UEFA de 2024–25 foi Bayern de Munique 9–2 Dínamo Zagreb.
8."
"Quem foi eleito o melhor jogador da Liga dos Campeões da UEFA de 2024–25, segundo o texto?","Ousmane Dembélé (Paris Saint-Germain) foi eleito o melhor jogador da Liga dos Campeões da UEFA de 2024–25.
9."
"Quem foi eleito o melhor jogador jovem da Liga dos Campeões da UEFA de 2024–25, segundo o contexto?","Désiré Doué (Paris Saint-Germain) foi eleito o melhor jogador jovem da Liga dos Campeões da UEFA de 2024–25.
10."
"Qual é o novo formato da Liga dos Campeões da UEFA que estreou na temporada 2024-25, conforme o texto?","O novo formato da Liga dos Campeões da UEFA que estreou na temporada 2024-25 é um formato de liga única.
11."
"Quais foram as premiações que o Paris Saint-Germain recebeu ao vencer a Liga dos Campeões da UEFA de 2024-25, segundo o contexto?","Ao vencer a Liga dos Campeões da UEFA de 2024-25, o Paris Saint-Germain se classificou automaticamente para a Liga dos Campeões da UEFA de 2025–26 e a Copa Intercontinental da FIFA de 2025, além de ganhar o direito de jogar contra os vencedores da Liga Europa da UEFA de 2024–25 na Supercopa da UEFA de 2025 e disputar a segunda edição do quadrienal Mundial de Clubes FIFA, em 2029.
12."
"Quantas equipes de cada associação entre 1 e 5 participam da Liga dos Campeões da UEFA de 2024-25, de acordo com o texto?","As associações 1–5 têm quatro equipes cada na Liga dos Campeões da UEFA de 2024-25.
13."
"Quantas equipes a Associação 6 tem na Liga dos Campeões da UEFA de 2024-25, conforme o contexto?","A Associação 6 tem três equipes na Liga dos Campeões da UEFA de 2024-25.
14."
"Quantas equipes as associações 7–15 têm na Liga dos Campeões da UEFA de 2024-25, segundo o texto?","As associações 7–15 têm duas equipes cada na Liga dos Campeões da UEFA de 2024-25.
15."
"Quantas equipes as associações 16–55 (exceto Liechtenstein e Rússia) têm na Liga dos Campeões da UEFA de 2024-25, de acordo com o contexto?","As associações 16–55 (exceto Liechtenstein e Rússia) têm uma equipe cada na Liga dos Campeões da UEFA de 2024-25.
16."
"Quais associações ganharam vagas extras na fase da liga da Liga dos Campeões 2024-25 com base no desempenho da temporada 2023-24, segundo o texto?","Alemanha e Itália ganharam vagas extras na fase da liga da Liga dos Campeões 2024-25 com base no desempenho da temporada 2023-24.
17."
"Qual foi o coeficiente da associação da Inglaterra para a Liga dos Campeões da UEFA de 2024–25, conforme o contexto?","O coeficiente da associação da Inglaterra para a Liga dos Campeões da UEFA de 2024–25 foi 109.570.
18."
